name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Mobile Suit Maintenance Bays,fpr_MobileSuitMaintenanceBays,0,,Killia Drive Yards,"special, engines, defensive, req_spaceport","Special, Defenses, req_spaceport",8700,,,,4,8,12,20,data.hullmods.fpr_MobileSuitMaintenanceBays,"All mobile suits get %s resistance to EMP, reduced damage taken to weapons and engines by %s.",,graphics/hullmods/insulated_engine_assembly.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# logistics hullmods,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# standard built-in hullmods,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Akoya-Pattern Starship Engines,fpr_AkoyaEngines,0,,Akoya Shipyards,"engines, defensive, req_spaceport","Engines, Logistics, Defenses, Requires Dock",2500,,TRUE,,5,10,15,25,data.hullmods.fpr_AkoyaEngines,"Special Engines developed by Akoya Interstellar Industries that Increase the durability of the ship's engines by %s, and the ship's hull integrity by %s. The ship's sensor profile is also reduced by %s.","Makes engines harder to disable, lowers sensor profile.",graphics/hullmods/insulated_engine_assembly.png
Degraded Akoya-Pattern Starship Engines,fpr_AkoyaEnginesDegraded,0,,Akoya Shipyards,"engines, defensive, req_spaceport","Engines, Logistics, Defenses, Requires Dock",2200,,TRUE,,4,8,12,20,data.hullmods.fpr_AkoyaEnginesDegraded,"Special Engines developed by Akoya Interstellar Industries that Increase the durability of the ship's engines by %s and the ship's sensor profile is also reduced by %s. However as these particular engines have been poorly maintained, their effects have somewhat degraded","Makes engines harder to disable, lowers sensor profile.",graphics/hullmods/insulated_engine_assembly.png
Akoya Surplus,fpr_AkoyaSurplus,0,,Akoya Shipyards,special,Special,10000,,TRUE,,4,8,12,20,data.hullmods.fpr_AkoyaSurplus,"This ship has been deemed surplus by the Akoya Interstellar Navy, It has been stripped of it's shield generator and other vital systems. Because of this it's upkeep reduced by %s and CR recovery cost is reduced by %s.",,graphics/hullmods/insulated_engine_assembly.png
Launch Catapult,fpr_LaunchCatapult,0,,Killia Drive Yards,special,Special,4500,,TRUE,,4,8,12,20,data.hullmods.fpr_LaunchCatapult,Increases figther speed by %s for %s after it get deployed.,,graphics/hullmods/insulated_engine_assembly.png
Explorarium Hull Shielding,fpr_ExplorariumHullShielding,0,,Killia Drive Yards,"defensive, req_spaceport","Defenses, Logistics, Requires Dock",3500,,TRUE,,4,8,12,20,data.hullmods.fpr_ExplorariumHullShielding,"This ship uses the advanced domain-era Hull shielding techniques found on Explorarium vessels, this grants increased protection against hyperspace storms, reducing the damage inflicted by them by %s.",,graphics/hullmods/insulated_engine_assembly.png
Alaya-Vijnana System,fpr_av_system,0,,Farstar Mechatronics,special,Special,10000,,TRUE,,0,0,0,0,data.hullmods.fpr_av_system,"The Alaya-Vijnana System creates a pseudo-brain lobe in the pilot's body using nano-machines, and this allows the pilot's brain to directly process mobile suit data fed through the physical connection. As the pseudo-brain lobe also governs spatial awareness so the pilot's spatial awareness is enhanced. Increasing maneuverability by %s.",Increases fighter manevuerability by %s.,graphics/hullmods/fpr_av_system.png
,,,,,,,,,,,,,,,,,,